store;product_name;sku;stock;price
43;"Cetotifeno,Fum 120Ml Lg Bios";7896181914112;0;36.39
43;"Advil Extra Alivio 400Mg 8Caps";7891045043564;10;18.60
43;"Tenflax Plus 30 Saches";7896226108438;0;204.25
43;"Azitromicina 500Mg 3Cp Prati*";7898148290376;0;13.21
43;"Agua Minalba 510Ml C/Gas";7896065870503;0;3.50
43;"Tint Imedia 8.1 Loiro Sueco";7896014140640;3;25.39
43;"Prot.solar Expert 30 120Ml";7899706135757;0;35.79
43;"Cond Flor/Veg 300Ml Matizante";7896671692155;0;20.89
43;"Abs Int Days Pr.dia Respiravel";7896007545759;0;3.79
43;"Vidmax 100Mg 60Cpr Rev C1";7896658009693;0;162.00
43;"Masc Cap.salon Opus 400G Hidra";7896010174090;0;15.69
43;"Chup Avent Free 6A18 Scf181/14";8710103634805;0;26.86
43;"Des Herb Cr Pote 55G Mas Action";7896049528598;4;3.69
43;"Prot Lab Ricca Fps 15 Cereja";7897517922719;0;18.49
43;"Ag 30Mm X 7 Bd Und Ref.300339";7890983021070;125;0.59
43;"Sintomatic 300Mg 30Cpr";7896112400523;0;76.50
43;"Cr De Pent Vinagre Demaça300Ml";7898623955011;0;14.60
43;"Pincel Macrilan W106-Corretivo";7898506253685;0;4.48
43;"Ebix 10Mg 28Cpr Rev C1";5702157127054;0;146.71
43;"Neovite Max 60Caps Blpa";7896046304133;0;192.98
43;"Clob-X Pomada 30Gr";7897930760516;0;42.65
43;"Glibenclamida 5Mg 30Cp Lg Prat";7898148297269;6;2.79
43;"Bepantol Baby Cr 100G+20Gratis";7891106910248;4;37.90
43;"Sab Nivea 90G Creme Care";4005900294722;8;3.09
43;"Catuama Extrato Fluido 500Ml";7896023722721;0;61.77
43;"Vita E Ache 400Mg 30'S";7896658001680;3;37.52
43;"Level 0,1/0,2Mg 63Cp";7896112448358;0;65.44
43;"Dorilax 4Cp";7896658010002;0;4.46
43;"B.b Cream Loreal Clara 30Ml";7899706149570;2;32.09
43;"Mirtax 10Mg 30Cpr";7896658005985;0;22.98
43;"Farinha Lactea 400G";7891000252604;0;20.05
43;"Pilha Pana Alcalina Palito C/4";7896067201398;0;17.89
43;"Babador Decor Baby Go Ref1992";7891301019920;0;10.32
43;"Listerine 473Ml Whitening Extr";7702031988274;0;21.57
43;"Dimorf 10Mg 50Cp A1";7896676406177;0;43.09
43;"Fral Pompom Jumbo Pr.mae M 30";7896012800416;10;21.99
43;"Batata Chipps Lisa 40G Ebicen";7896039050153;0;3.49
43;"Diltiazem,Cl 30Mg 50Cp Lg Ems";7896004710082;0;20.03
43;"Ciclobenzap,Cl 10Mg 30Cp Lg Em";7896004730189;7;34.45
43;"Maxiflox Sol Oft 5Ml*";7896676433142;0;26.59
43;"Glibenclamida 5Mg 30Cp Lg Bios";7896181905509;0;9.03
43;"Caneta Delineadora Carbon Blac";7898417962706;0;30.39
43;"Des Suave Roll 50Ml Fem Jasmim Coc";75054434;2;6.79
43;"Pregabalina 150Mg 30Cp Med C1";7896422501330;3;134.13
43;"Toperma 5% C/30 Emplastros";7898582380237;0;380.90
43;"Neuri B6 40Mg 20Cp";7893736030013;0;10.90
43;"Fini Gelatina 100G Minhocas";7898279790776;10;5.49
43;"Scalp Bd 27G";1001067627;0;3.29
43;"Atorvastatina 10Mg 30Cp Lg Ger";7896004729466;0;49.87
43;"Dermocorte Pom 30G";7896004712734;0;31.68
43;"Seringa 5Ml C/Agu 30X7 Solomed";7891463006592;13;3.19
43;"Lavitan Testo 30Dr";7897947614482;2;39.90
43;"Mustela Gel Limp S/Frag 300Ml";3504105029937;0;49.60
43;"Tebonin 120Mg 30Cp";7896641807404;0;308.22
43;"Tenoxicam 20Mg 10Cp Rev Medq";7896862918675;0;38.59
43;"Ciclobenzap,Cl 5Mg 30Cp Cimed";7898075315203;2;19.36
43;"Nectativa Mandioca 40Ml Haskel";7898944075153;0;14.63
43;"Eparema Flaconete 10Ml Laranja";7896641810190;0;3.17
43;"Aminofilina 100Mg 20Cp Lg Teut";7896112110347;5;4.91
43;"Sh Lola 250Ml Morte Subita";7899572805358;0;27.76
43;"Cond Seda Ag.micel+Hialu 325Ml";7891150063457;2;10.29
43;"Base Liq Dailus 04 Bege Claro";7894222007984;0;25.90
43;"Kit Giovanna Baby Rollon Class";7896044952695;0;13.90
43;"Coqueteleira 1 Dose Integral";7896311102297;0;14.09
43;"Fita Microporosa Missner Branca";7896544900110;0;8.89
43;"Sombra Vult Uno Ma 06";7898503186054;0;11.61
43;"Des Old Spice Aer 152Ml Mas Fresh";7506309872520;0;13.89
43;"Milnutri Vitamina Frutas 760G";7891025112105;3;36.69
43;"Cr Trat.novex 1K Broto De Bamb";7896013548454;0;16.99
43;"Des Bi-O Roll 50Ml Fem Protec 5";7899026483446;2;10.59
43;"Esm Col Vernizecor 40 Graus";7899026421349;0;3.79
43;"Leave-In Bodia Sou+Cachos365Ml";7898955730478;0;43.89
43;"Gabapentina 300Mg 30Cp Lg San1";7897595622358;0;81.49
43;"Sonda Uretral Mark Med N.08 C/10";7898430461781;0;13.09
43;"Cond Fructis 200Ml Apaga Danos";7899706110402;0;10.79
43;"Flucistein 200Mg 15Env 5Gr";7896006257752;0;42.81
43;"Tint Biocolor 8.1 Louro Claro";7891182990042;2;13.49
43;"Miosan Caf 10Mg 15Cp";7896637025102;0;28.64
43;"Bepantol Derma 40G + Reg 7,5Ml";7891106913133;0;41.35
43;"Aciclovir 200Mg 25Cp Lg Biosin";7896181918189;0;122.14
43;"Cordarex 10Mg 30Cp";7896181901808;0;44.16
43;"Cande Cilexet 8Mg 60Cp Lg Sand";7897595611154;0;111.56
43;"Miconazol Cr Derm 28G Lg Cimed";7896523208893;2;14.61
43;"Concor Hct 10/25Mg 30Cp";7891721026676;0;110.22
43;"Cond Amend 250Ml Realce Cor Re";7896852616994;0;36.99
43;"Leite De Colonia 100Ml T.carin";7896235353300;0;4.19
43;"Faixa De Cabelo Ref.hb82400";7899739279046;0;2.10
43;"Baby Child Creme 75Ml Weleda";4001638098311;0;41.00
43;"Esc Den Curaprox Ul.soft 5460";7612412546002;10;27.29
43;"Albendazol 400Mg 1Cp Lg Medley";7896422511728;0;8.57
43;"Plantare Po Eferv.c/30Env";7896004731117;0;111.73
43;"Sepurin 20Cp";7892828001405;2;38.32
43;"Esm Risque Sufle De Goiaba";7891182996983;0;3.49
43;"Hidroxizina,Cl 100Ml Lg Medq";7896862990107;0;27.68
43;"Umidificador Waterclear 3,6L";7896615115009;0;282.09
43;"Bananinha Banagoiaba C/ Ac 30G";40232898235;0;1.80
43;"Velus 30Cpr";7896637028301;0;85.95
43;"Lipitor 10Mg 30Cp";7908236800544;0;138.66
43;"Escitalopram 10Mg 60Cpr Bio C1";7896181927297;0;183.37
43;"Lencol Gpz Azul Plus 50X50";7898281650563;0;9.09
43;"Chocolate Branco Linea 13G";7896001215382;0;2.65
43;"Norfloxacino 400Mg 14Cp Lg Le*";7894916142946;0;37.87
43;"Pincel Chanfrado Olhos Ms13";7898925598596;0;32.39
43;"Hidr Paixao 200Ml Irresis";78914957;10;7.49
43;"Amacihair Relax/Amaciam.kit";7896013500193;0;31.21
43;"Perf New Prestige 4 Women D";5425017736431;0;59.79
43;"Sporanox Pulso 28Cp";7896212427185;0;408.50
43;"Enalapril 10Mg 30Cp Lg Teuto";7896112126225;0;7.65
43;"Glimepirida 4Mg 30Cp Lg Bio";7896181909484;0;66.74
43;"Sh Argan Praxi Oil 250Ml Lola";7899572806874;0;22.83
43;"Esm Risque Azul Livremente 8Ml";7891350034042;0;3.48
